Song Name,Megasync,Memory Card,,
512 Lamb of God,x,y,,
Hourglass Lamb of God,x,y,,
Walk with Me In Hell Lamb of God,x,y,,
Omerta Lamb of God,x,y,,
Now You've Got Something to Die For Lamb of God,x,y,,
The End In Flames,,,,
Endorama Kreator,x,,,
Impossible Brutality Kreator,x,,,
The Shining Black Sabbath,,,,
I Am The Law Anthrax,x,,,
Madhouse Anthrax,x,,,
Got The Time Anthrax,x,,,
Got The Time Anthrax,x,,,
Until The World Goes Cold Trivium,,,,
Blackout Scorpions,x,,,
The Stellar Sunset of Evolution Pt. 2 (The Rise) Wretched,,,,
(Don't Fear) The Reaper Blue Öyster Cult,,,,
Smoke On the Water Deep Purple,,,,
Refuse / Resist Sepultura,,,,
Highway Star Deep Purple,,,,
N.I.B. Black Sabbath,,,,
Disco Inferno - Single Edit The Trammps,,,,
Ashes of the Wake Lamb of God,x,y,,
Nailed by the Hammer of Frankenstein Lordi,,,,
Give Your Life For Rock And Roll Lordi,,,,
It Snows In Hell Lordi,,,,
When I'm Gone Eminem,,,,
The Smoke Of Many Fires Be'lakor,,,,
An Ember's Arc Be'lakor,,,,
Victim Of Changes Judas Priest,x,p,,
Electric Eye Judas Priest,x,p,,
Turbo Lover Judas Priest,x,p,,
Living After Midnight Judas Priest,x,p,,
Painkiller Judas Priest,x,p,,
Breaking the Law Judas Priest,x,p,,
Weak Fantasy (Instrumental) Nightwish,,,,
The Secret Pt. 1 DGM,,,,
Something For The Ages Hammerfall,,,,
Sting Of The Bumblebee Manowar,,,,
Mr. Scary Dokken,,,,
Enemy Of God Kreator,x,y,,
Chosen Few Kreator,x,y,,
Phantom Antichrist Kreator,x,y,,
Far Beyond The Sun Yngwie Malmsteen,,,,
God Of Forbidden Light Dissection,x,,,
Maha-Kali Dissection,x,y,,
Black Dragon Dissection,,,,
Powershifter Fear Factory,x,y,,
Regenerate Fear Factory,,,,
Fear Campaign Fear Factory,x,y,,
Recharger Fear Factory,x,y,,
Acres Of Skin Fear Factory,x,y,,
Linchpin Fear Factory,x,y,,
Becoming The Bull Atreyu,,,,
Lonkkaluut Korpiklaani,x,y,,
Tuoppi Oltta Korpiklaani,x,y,,
Päät Pois Tai Hirteen Korpiklaani,x,y,,
Metsämies Korpiklaani,x,y,,
Tapporauta Korpiklaani,x,y,,
Luontoni Korpiklaani,x,y,,
FC Lahti Korpiklaani,x,y,,
Ämmänhauta Korpiklaani,x,y,,
Sahti Korpiklaani,x,y,,
Ievan Polkka Korpiklaani,x,y,,
Viinamäen Mies Korpiklaani,x,y,,
Tervaskanto Korpiklaani,x,y,,
Lempo Korpiklaani,x,y,,
Inis Mona Eluveitie,x,,,
Vodka Korpiklaani,x,y,,
Vaarinpolkka Korpiklaani,x,y,,
Beyond Redemption The Forsaken,,,,
The Tribulation of Man Oracles,,,,
Lashed To the Slave Stick Nile,,,,
Primal Recoil Blood Red Throne,,,,
Jailbait Motörhead,x,y,,
Shoot You In the Back Motörhead,x,y,,
Bomber Motörhead,x,y,,
No Class Motörhead,x,y,,
Iron Fist Motörhead,x,y,,
Love Me Like a Reptile Motörhead,x,y,,
(We Are) The Roadcrew Motörhead,x,y,,
Till The End Motörhead,,,,
Victory Or Die Motörhead,,,,
Thunder & Lightning Motörhead,,,,
Sympathy For The Devil Motörhead,,,,
King of Kings (Triple H) Motörhead,x,y,,
Ace of Spades Motörhead,x,y,,
Killed by Death Motörhead,,,,
Killed By Death Motörhead,,,,
The Four Horsemen (Remastered) Metallica,,,,
Cold Flesh Citadel Katalepsy,,,,
Aether Eyes The Healing,,,,
MonstroCity Meshuggah,,,,
Born In Dissonance Meshuggah,,,,
Clockworks Meshuggah,,,,
Bleed Meshuggah,x,y,,
Rotting In Vain Korn,x,y,,
Angel In Disgrace The Raven Age,,,,
The Great Disillusion Betraying The Martyrs,,,,
